complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel
CBK0002347,TXN00010961,USR55439,MCH7581,02-13-2026,15-Mar-2026,1126.18,Wrong Amount,Customer says transaction was not authorized.,Rejected,,LOW,Branch
CBK0000289,TXN00005764,USR38028,MCH6758,12/03/2026 11:03 PM,,513.84,Fraud Suspected,User claims account was compromised before transaction.,REJECTED,,Medium,chatbot
CBK0002002,TXN00010298,USR97772,MCH-5269,2026/01/03,01-08-2026,534.44,service failed,Merchant service was not delivered after payment. urgent,WIP,2026-02-03 23:32:04,P1,chatbot
CBK0000512,TXN00014054,usr_27947,MCH7667,21-Jan-2026,01-26-2026,"4,010.97",Unauthorized Transaction,Customer says amount was debited twice.,Closed,01-30-2026,P4,CHATBOT
CBK0001155,TXN00010146,USR94690,MCH3957,2026-02-09 19:16:42,,"₹2,637.93",unauthorized_transaction,Payment made to unknown merchant as per customer statement.,In Progress,1771827402,MEDIUM,IVR
CBK0001330,TXN00005940,usr67471,MCH8738,14/03/2026 12:34 AM,15/03/2026 12:34 PM,"INR 1,360.01",DUP_DEBIT,Suspicious high-value payment disputed by customer.,Pending Bank,03-27-2026,MEDIUM,CHATBOT
CBK0000259,TXN00017504,USR 24872,MCH9291,22-Jan-2026,30/01/2026 09:27 AM,12647.35,unauthorized_transaction,merchant service was not delivered after payment.,IN_PROGRESS,13/02/2026,P4,chatbot
CBK0000164,TXN00010786,usr79443,MCH 3729,2026-01-08 02:00:24,2026/01/18,,charged twice,Payment made to unknown merchant as per customer statement.,CLOSED,2026-01-23 04:00:24,MEDIUM,IVR
CBK0000681,TXN00006290,USR89588,MCH 9105,2026/01/28,02/02/2026,,extra amount deducted,Merchant service was not delivered after payment.,REJECTED,28/02/2026,LOW,IVR
CBK0002683,TXN00004094,USR73891,MCH8154,08/01/2026,06-Jan-2026,2519.45,incorrect amount,suspicious high-value payment disputed by customer.,In Progress,21-Jan-2026,HIGH,ivr
CBK0002792,TXN00005061,USR22154,MCH9022,2026-02-28 13:16:03,03-02-2026,"INR 1,535.65",account hacked,Customer says amount was debited twice.,REJECTED,30/03/2026,High,chatbot
CBK0000594,TXN65742,USR32980,MCH7020,2026/02/19,,Rs. 470,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,24-Feb-2026,MEDIUM,Email
CBK0001247,TXN00003165,usr41524,MCH2342,01-04-2026,09-Jan-2026,"2,714.54",scam,Suspicious high-value payment disputed by customer.,Resolved,03/02/2026,Medium,Call Center
CBK0000566,TXN00000086,USR11727,MCH4948,23/02/2026,24/02/2026 02:13 AM,411.83,unauth txn,User says UPI PIN was not entered by them.,REJECTED,2026/03/15,H,CHATBOT
CBK0002764,TXN00014418,usr_71468,MCH6403,03-Mar-2026,05/03/2026,1393.43,Service Not Provided,customer complaint text unclear due to poor call center notes.,PENDING_BANK,,M,Email
CBK0000023,TXN00001464,92751,MCH2757,03-14-2026,2026/04/13,"₹1,112.83",Merchant Not Delivered,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,RESOLVED,2026/04/16,P3,ivr
CBK0000361,TXN00012527,USR24926,MCH7438,14-Feb-2026,2026-02-16 18:13:57,"Rs. 2,311",Duplicate Debit,User claims account was compromised before transaction.,CLOSED,,LOW,IVR
CBK0002544,TXN00018727,USR27888,MCH5076,2026-03-20 01:26:11,25/03/2026,10161.06,delivery issue,merchant service was not delivered after payment.,Open,2026-04-24 20:26:11,HIGH,CHATBOT
CBK0000430,TXN00018881,USR-47299,MCH3382,1770780031,26-Feb-2026,2108.9,fraud,Merchant service was not delivered after payment. urgent,IN_PROGRESS,2026-03-23 06:20:31,P2,ivr
CBK0001264,TXN00008143,USR92737,MCH4183,1774200089,25/03/2026 10:21 PM,INR 240.64,unauth txn,Merchant service was not delivered after payment.,OPEN,,L,ivr
CBK0001919,TXN00005826,USR72795,MCH2259,31-Jan-2026,04/02/2026 02:03 PM,"INR 1,770.58",login compromised,Merchant service was not delivered after payment.,Rejected,02-08-2026,P1,IVR
CBK0000069,TXN00002744,USR21384,MCH4252,1768440280,,₹840.07,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,In Progress,11/02/2026,CRIT,Email
CBK0001760,TXN00017025,USR79110,MCH1320,,1774394238,,FRAUD,user says upi pin was not entered by them.,Resolved,,Low,ivr
CBK0002232,TXN00009269,USR99886,MCH 1941,1769455485,1769707485,₹385.53,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,CLOSED,,Medium,CHATBOT
CBK0002798,TXN66039,USR24087,MCH6965,14-Jan-2026,2026-01-22 06:27:51,"Rs. 1,372",Service Not Provided,User reports money deducted but merchant denies receiving payment.,RESOLVED,02-09-2026,P4,CHATBOT
CBK0000080,TXN00007630,USR70905,MCH 7833,1768160100,1768199700,963.14,Duplicate Debit,user claims account was compromised before transaction.,IN_PROGRESS,2026/01/24,P4,Branch
CBK0000789,TXN00006632,USR56899,MCH7296,03-28-2026,03/04/2026,"₹4,124.85",fraud,Merchant service was not delivered after payment.,WIP,,L,Email
CBK0002564,TXN00013473,USR78994,2383,16/02/2026 02:17 AM,26/02/2026,2485.28,Customer Dispute,Customer says amount was debited twice.,Pending Bank,04-Mar-2026,MEDIUM,CHATBOT
CBK0000359,TXN00014970,USR35935,3100,,02-20-2026,3336.7,Account Takeover,user reports money deducted but merchant denies receiving payment.,WIP,2026-03-12 18:19:47,MEDIUM,CHATBOT
CBK0002003,TXN00015085,USR71636,mch4256,16/01/2026,18/01/2026 06:11 AM,-956.46,Merchant Not Delivered,suspicious high-value payment disputed by customer.,In Progress,2026/02/09,P3,App
CBK0002463,TXN00014364,USR87498,MCH4089,19/01/2026,1769015896,"2,489.04",suspicious transaction,Customer says amount was debited twice.,Resolved,11-Feb-2026,LOW,chatbot
CBK0001171,TXN00006955,USR26685,MCH3901,,1771261047,1336.86,ATO,payment made to unknown merchant as per customer statement.,OPEN,19-Feb-2026,LOW,chatbot
CBK0002716,txn-00003119,USR34955,MCH8691,,1771970338,"INR 1,198.29",suspicious transaction,Payment made to unknown merchant as per customer statement.,CLOSED,,L,Email
CBK0001839,TXN00004638,USR67862,MCH 8953,12/02/2026 09:49 AM,12/02/2026 11:49 AM,"₹1,651.94",extra amount deducted,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,17/02/2026,High,Email
CBK0002314,TXN00014145,USR21162,MCH 2383,09-Mar-2026,1773176596,"Rs. 3,888",suspicious transaction,Complaint received after multiple failed attempts.,CLOSED,07/04/2026,L,ivr
CBK0000406,TXN00007974,usr33394,MCH 3064,,11/03/2026,4101.89,Wrong Amount,user claims account was compromised before transaction.,Open,2026-03-20 06:27:39,Low,ivr
CBK0002718,TXN00013934,usr84084,mch7370,20/02/2026,1774221317,"INR 7,727.87",Account Takeover,User claims account was compromised before transaction.,OPEN,04-Apr-2026,L,ivr
CBK0002400,TXN00015733,USR87357,MCH9878,2026/01/22,01-25-2026,2313.86,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,CLOSED,22-Feb-2026,P3,ivr
CBK0002758,,USR60667,MCH2383,1774246748,2026/03/25,1225.29,fraud,payment made to unknown merchant as per customer statement.,IN_PROGRESS,13/04/2026,Medium,Branch
CBK0002250,TXN00008645,usr60783,MCH8613,2026-01-12 12:57:11,19-Jan-2026,5443.5,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,CLOSED,,HIGH,Call Center
CBK0000661,TXN00012553,USR87727,MCH 8876,2026-01-21 17:03:00,01-23-2026,901.62,no service,User claims account was compromised before transaction.,Resolved,2026-02-15 06:03:00,Low,IVR
CBK0001020,TXN84758,USR36590,mch1368,23/02/2026,26/02/2026,,Service Not Provided,User says UPI PIN was not entered by them.,Open,2026/03/15,H,ivr
CBK0002104,TXN00006293,USR-48479,mch8779,01-08-2026,2026/01/19,"₹2,214.27",DUP_DEBIT,Complaint received after multiple failed attempts.,REJECTED,,LOW,Branch
CBK0002572,TXN00002760,USR 49176,MCH 2925,1768487176,30/01/2026,1345.79,unauth txn,User says UPI PIN was not entered by them.,RESOLVED,02-09-2026,L,ivr
CBK0000929,TXN00014710,USR38547,MCH 5541,1769173864,1770120664,"INR 3,089.13",Unauthorized Transaction,Merchant service was not delivered after payment.,OPEN,04/02/2026 12:11 PM,M,IVR
CBK0002608,TXN00012654,usr13367,MCH8076,2026-03-29 04:01:37,,₹326.32,account hacked,User claims account was compromised before transaction.,RESOLVED,24/04/2026 07:01 PM,P4,App
CBK0002430,TXN00019681,USR37650,MCH5655,2026/01/29,04-Feb-2026,"₹9,661.70",not delivered,Customer says amount was debited twice.,Resolved,15-Feb-2026,High,ivr
CBK0002156,TXN00013206,USR11987,MCH 6665,24/01/2026 09:52 AM,25/01/2026 04:52 AM,26477.69,Customer Dispute,Complaint received after multiple failed attempts.,In Progress,,High,Email
CBK0000366,TXN00002078,USR73403,MCH5076,1772476172,2026/03/04,6907.46,extra amount deducted,Customer says transaction was not authorized.,Closed,,LOW,Call Center
CBK0000432,TXN94213,USR96958,MCH7286,29-Jan-2026,01/02/2026,-1411.26,unauth txn,User reports money deducted but merchant denies receiving payment.,RESOLVED,02-Feb-2026,High,Email
CBK0001972,TXN00001376,USR12133,MCH6555,1769912648,2026-02-06 04:24:08,"1,261.15",item not received,Merchant service was not delivered after payment.,Closed,,M,chatbot
CBK0001250,TXN00015587,USR11697,MCH-8741,2026/02/02,05/02/2026,11364.57,no service,Complaint received after multiple failed attempts.,PENDING_BANK,,Low,App
CBK0001283,TXN00002013,USR31545,MCH5974,,2026-03-04 02:59:29,Rs. 439,unauth txn,Suspicious high-value payment disputed by customer.,REJECTED,28-Mar-2026,Medium,Call Center
CBK0000973,TXN00016040,USR25345,MCH3851,04/02/2026,06-Feb-2026,"Rs. 3,127",unauth txn,Complaint received after multiple failed attempts.,PENDING_BANK,07-Mar-2026,Low,IVR
CBK0000578,TXN00006468,USR71457,mch6810,1767959563,2026-01-11 20:52:43,7884.04,UNAUTHORISED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,2026/01/13,Low,ivr
CBK0001696,TXN00019601,USR19556,MCH5844,08/03/2026,09/03/2026 01:14 PM,9956.85,ATO,Suspicious high-value payment disputed by customer.,Closed,04-03-2026,P2,CHATBOT
CBK0002333,TXN00002832,USR10042,mch1611,02/03/2026 01:26 PM,05-Mar-2026,8214.17,Account Takeover,Merchant service was not delivered after payment.,Rejected,04/04/2026,P3,IVR
CBK0001122,TXN00015275,USR-61052,MCH 8979,03-07-2026,1773419268,320.53,not delivered,Complaint received after multiple failed attempts.,REJECTED,1775924868,Medium,ivr
CBK0000959,TXN00011129,USR50320,MCH6319,2026/02/07,09/03/2026 11:52 AM,"₹4,888.42",unauth txn,User reports money deducted but merchant denies receiving payment.,Closed,,P3,Email
CBK0001968,,USR46599,MCH1320,21/03/2026,2026/03/23,2799.09,dispute raised,Customer says amount was debited twice.,Pending Bank,13/04/2026 03:36 AM,M,Email
CBK0001828,TXN00016623,USR-59679,MCH8755,2026/01/05,2026-01-15 08:21:37,818.66,account hacked,Customer says amount was debited twice. pls check asap,PENDING_BANK,2026-02-03 08:21:37,HIGH,Branch
CBK0001654,TXN00012039,USR76792,MCH6492,02-05-2026,2026-02-07 05:28:28,Rs. 966,extra amount deducted,User reports money deducted but merchant denies receiving payment.,WIP,22/02/2026 05:28 AM,P2,Call Center
CBK0002440,txn-00014010,usr71922,MCH6703,2026-01-31 08:39:15,01/02/2026 08:39 AM,"1,883.55",unauth txn,complaint received after multiple failed attempts.,WIP,,High,ivr
CBK0001278,TXN00008385,USR17657,MCH-3542,2026/02/20,04-06-2026,"₹1,944.27",dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Resolved,,LOW,CHATBOT
CBK0002370,TXN00001816,usr_24664,MCH3992,25-Mar-2026,1774554101,"₹6,501.45",DUP_DEBIT,Payment made to unknown merchant as per customer statement.,PENDING_BANK,04-13-2026,Low,Call Center
CBK0001105,TXN00019695,USR34180,MCH6310,04/03/2026,,1782.96,Duplicate Debit,User reports money deducted but merchant denies receiving payment.,OPEN,,M,chatbot
CBK0000180,TXN00019503,USR70812,MCH3936,18/01/2026,2026/01/22,"INR 1,537.27",not delivered,user claims account was compromised before transaction.,WIP,02-02-2026,L,Branch
CBK0000369,TXN00008758,usr_86274,MCH3418,2026-03-18 04:15:38,2026-03-20 15:15:38,"Rs. 11,352",UNAUTHORISED,User says UPI PIN was not entered by them.,IN_PROGRESS,,M,ivr
CBK0002303,TXN00016593,usr96415,MCH1320,11-Jan-2026,01-13-2026,6511.97,Unauthorized Transaction,Customer complaint text unclear due to poor call center notes.,Resolved,2026-01-22 01:23:48,MEDIUM,ivr
CBK0001525,TXN00004103,USR 18453,MCH-7793,,2026/01/28,4864.83,ATO,User claims account was compromised before transaction.,CLOSED,01/02/2026,Medium,Email
CBK0000316,TXN00016400,USR40842,MCH3815,18-Mar-2026,18/04/2026,"₹1,616.81",Wrong Amount,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Resolved,05-03-2026,P3,CHATBOT
CBK0001238,TXN00006193,USR35817,7061,12/03/2026,13/03/2026,26207.56,FRAUD,Customer says amount was debited twice.,In Progress,04-10-2026,LOW,App
CBK0002585,TXN00018187,USR23937,MCH4560,24/03/2026,27/03/2026,,ATO,Customer complaint text unclear due to poor call center notes.,RESOLVED,1776177535,M,chatbot
CBK0001427,TXN00019824,USR76289,MCH5563,06-Jan-2026,2026/02/05,₹755.08,no service,Suspicious high-value payment disputed by customer.,Rejected,03/03/2026 08:07 AM,CRITICAL,Email
CBK0002514,TXN00001801,usr_99493,mch3992,1773327218,,"₹4,455.80",not delivered,Customer says transaction was not authorized.,PENDING_BANK,2026/03/19,Low,Branch
CBK0001680,TXN00009645,USR11085,MCH 7073,31/01/2026 04:31 PM,02/02/2026,3937.19,not delivered,Complaint received after multiple failed attempts.,OPEN,,MEDIUM,chatbot
CBK0002041,TXN00015934,USR69637,MCH2240,,24-Mar-2026,1508.23,complaint,Customer complaint text unclear due to poor call center notes.,CLOSED,04-17-2026,P2,CHATBOT
CBK0002780,TXN40959,USR75376,MCH 4293,26/02/2026,13-Mar-2026,823.15,item not received,User says UPI PIN was not entered by them.,WIP,,H,chatbot
CBK0000294,TXN00019876,USR55690,MCH6739,,,2134.32,Duplicate Debit,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,PENDING_BANK,20/03/2026 11:37 PM,Low,ivr
CBK0002617,TXN00016671,USR-60544,MCH7838,2026/02/09,24-Feb-2026,1587.1,Customer Dispute,User claims account was compromised before transaction.,REJECTED,1773789436,LOW,Call Center
CBK0001175,TXN61071,USR22543,MCH3116,1770219797,10/02/2026,,customer issue,customer says amount was debited twice.,In Progress,22/02/2026 11:43 AM,P1,chatbot
CBK0001087,TXN00014733,USR20889,MCH5264,02-06-2026,06/02/2026,"₹1,558.23",merchant service issue,Suspicious high-value payment disputed by customer.,In Progress,,P2,Call Center
CBK0002077,TXN00005419,USR-55970,MCH9128,22/01/2026,01-30-2026,"Rs. 8,383",Fraud Suspected,Payment made to unknown merchant as per customer statement.,Rejected,2026/02/25,P4,Call Center
CBK0001820,TXN00007866,USR51854,MCH1450,21/02/2026,2026/02/22,-2477.45,incorrect amount,complaint received after multiple failed attempts.,Rejected,23/03/2026 07:57 PM,LOW,Email
CBK0001018,TXN00018348,USR13510,1320,28/01/2026,1770960388,1207.49,Unauthorized Transaction,Complaint received after multiple failed attempts.,Resolved,17/02/2026,P4,App
CBK0001949,TXN00000319,USR60096,MCH-4998,2026/02/19,24-Feb-2026,"Rs. 2,189",customer issue,Customer says amount was debited twice.,PENDING_BANK,21/03/2026,MEDIUM,Email
CBK0000860,TXN00007296,USR97580,MCH3701,2026/02/04,,"INR 1,425.61",delivery issue,Suspicious high-value payment disputed by customer.,Pending Bank,,M,CHATBOT
CBK0000879,TXN00018041,USR59366,MCH6145,14-Mar-2026,2026/03/24,₹479.19,scam,Customer complaint text unclear due to poor call center notes.,PENDING_BANK,25-Mar-2026,P4,ivr
CBK0001383,TXN00005315,USR50648,MCH2822,06-Mar-2026,2026/03/12,819.89,Customer Dispute,User reports money deducted but merchant denies receiving payment.,OPEN,2026-03-27 05:23:46,L,chatbot
CBK0001532,,USR52450,MCH6244,,12-Mar-2026,3174.58,complaint,User reports money deducted but merchant denies receiving payment.,Rejected,2026/03/30,L,IVR
CBK0000448,TXN00013063,USR62513,MCH8391,02-14-2026,,395.16,merchant service issue,Suspicious high-value payment disputed by customer.,Rejected,17/02/2026 10:59 AM,Medium,Email
CBK0002336,TXN00014456,USR56287,MCH 4473,,2026-01-10 09:07:37,"INR 4,534.17",merchant service issue,Merchant service was not delivered after payment.,PENDING_BANK,05/02/2026,Low,Email
CBK0001121,TXN00005396,usr14769,MCH-8455,23/01/2026 08:19 AM,,"₹2,926.18",scam,Customer says transaction was not authorized.,Open,,P3,Email
CBK0001266,TXN00017098,USR19427,MCH5980,30/01/2026,1770042047,1358.37,DUP_DEBIT,Complaint received after multiple failed attempts.,Rejected,02-03-2026,P3,chatbot
CBK0001732,TXN00007456,usr17657,MCH3806,2026/03/17,03-17-2026,"Rs. 2,655",Fraud Suspected,User claims account was compromised before transaction.,CLOSED,,P1,Branch
CBK0000575,TXN00009966,usr_40897,MCH9575,2026/02/23,2026/02/23,₹606.33,item not received,merchant service was not delivered after payment.,REJECTED,,CRIT,Email
CBK0002268,TXN00008063,USR89588,MCH1457,08-Mar-2026,19/03/2026,"₹2,296.42",complaint,User says UPI PIN was not entered by them.,Open,2026/03/28,P2,Branch
CBK0001126,TXN00007982,USR 35882,MCH4473,28/03/2026 09:42 PM,,-3415.3,unauthorized_transaction,Merchant service was not delivered after payment.,Closed,,P2,Email
CBK0002517,txn-00011567,USR30157,MCH1130,2026/01/26,26/01/2026 10:31 PM,-7727.83,complaint,Customer says transaction was not authorized. urgent,Closed,2026-01-30 22:31:46,M,Call Center
CBK0001815,TXN00017040,USR53591,MCH4590,1773247388,,"₹2,935.06",item not received,Payment made to unknown merchant as per customer statement.,WIP,04-05-2026,Medium,IVR
CBK0000752,TXN00012584,USR47668,mch3678,01-17-2026,16-Feb-2026,397.91,Customer Dispute,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,CLOSED,,P4,App
CBK0000688,TXN00018235,USR63160,MCH6399,1771318187,19/02/2026,"5,681.16",Customer Dispute,User says UPI PIN was not entered by them.,Rejected,03-18-2026,HIGH,App
CBK0001827,TXN00003656,USR-60742,MCH 3472,2026/03/26,04-11-2026,1011.36,dispute raised,complaint received after multiple failed attempts.,Rejected,,P4,Branch
CBK0001798,TXN00017706,USR 24802,MCH9650,1769114366,01-24-2026,1159.44,Account Takeover,User says UPI PIN was not entered by them.,Closed,18/02/2026 08:39 PM,Low,Branch
CBK0001588,TXN00006200,USR71373,MCH4370,25/01/2026,28/01/2026,5233.09,not delivered,Customer says transaction was not authorized.,WIP,,P2,Email
CBK0001960,txn-00008459,USR48339,MCH3765,07/01/2026 05:57 AM,2026/01/12,"3,145.24",Account Takeover,Customer complaint text unclear due to poor call center notes.,WIP,2026/02/09,M,Call Center
CBK0000227,TXN00013273,USR34180,MCH 1485,07-Feb-2026,1770626234,465.76,login compromised,User claims account was compromised before transaction.,PENDING_BANK,,H,Email
CBK0001487,TXN00015922,USR41135,MCH5982,23-Feb-2026,2026/02/25,-759.33,dispute raised,Complaint received after multiple failed attempts.,WIP,03-16-2026,P2,IVR
CBK0002403,TXN00000926,USR-32749,MCH6945,03-17-2026,19/03/2026 01:26 PM,Rs. 486,no service,SUSPICIOUS HIGH-VALUE PAYMENT DISPUTED BY CUSTOMER.,IN_PROGRESS,2026-04-17 13:26:01,P3,CHATBOT
CBK0001606,TXN00006400,USR91446,mch8696,2026/01/29,02-01-2026,"3,582.55",UNAUTHORISED,Suspicious high-value payment disputed by customer. call dropped,In Progress,13-Feb-2026,High,Email
CBK0002158,TXN00015104,USR76750,MCH-6228,01-19-2026,25-Jan-2026,2517.56,Customer Dispute,User claims account was compromised before transaction.,Rejected,01-30-2026,LOW,Branch
CBK0000247,TXN00019340,USR75302,MCH7286,2026-01-04 20:29:59,2026/01/04,"Rs. 1,486",service failed,Customer says transaction was not authorized.,RESOLVED,2026/01/18,P2,Call Center
CBK0002588,TXN00008732,USR22039,MCH2374,03-22-2026,2026/04/01,3491.72,charged twice,User says UPI PIN was not entered by them.,CLOSED,,HIGH,chatbot
CBK0001636,TXN00012003,USR66224,MCH3992,20-Feb-2026,27-Feb-2026,"INR 1,641.33",extra amount deducted,SUSPICIOUS HIGH-VALUE PAYMENT DISPUTED BY CUSTOMER.,WIP,,P3,App
CBK0001542,TXN00007849,68559,MCH 4064,21/01/2026 03:43 AM,1769139780,"Rs. 1,413",Service Not Provided,Complaint received after multiple failed attempts.,PENDING_BANK,1771126980,MEDIUM,Branch
CBK0000088,TXN00002716,USR62830,MCH4381,2026/01/22,25/01/2026,"INR 8,825.16",incorrect amount,merchant service was not delivered after payment.,Rejected,2026/02/15,Medium,Call Center
CBK0002664,TXN00008946,usr84093,mch1298,1767707873,2026-01-09 07:57:53,₹815.57,unauth txn,Suspicious high-value payment disputed by customer. details missing,REJECTED,08/02/2026 07:57 AM,M,IVR
CBK0001415,TXN00018932,usr90778,MCH1764,2026-03-29 04:23:47,31/03/2026 10:23 AM,"Rs. 1,825",not done by me,complaint received after multiple failed attempts.,Open,1776248627,High,ivr
CBK0000390,txn-00006356,USR12919,MCH6810,23/03/2026,2026/05/07,-344.33,customer issue,User says UPI PIN was not entered by them.,RESOLVED,03/06/2026,P4,Call Center
CBK0000693,TXN00018137,USR29306,MCH7744,15/02/2026,2026/02/18,"INR 7,022.75",extra amount deducted,Customer says txn was not authorized.,IN_PROGRESS,18-Feb-2026,M,IVR
CBK0002485,TXN00010063,USR21384,MCH 6470,2026/03/03,03-05-2026,-1603.64,Service Not Provided,complaint received after multiple failed attempts.,IN_PROGRESS,,P3,Branch
CBK0002258,txn-00014019,USR41320,MCH3992,09-Mar-2026,11-Mar-2026,"Rs. 1,550",ATO,User claims account was compromised before transaction.,Resolved,31-Mar-2026,L,Email
CBK0002045,TXN00002711,USR 57231,MCH4181,2026/01/23,31/01/2026,"Rs. 3,969",Service Not Provided,Customer complaint text unclear due to poor call center notes.,CLOSED,12-Feb-2026,Low,chatbot
CBK0000122,TXN00015011,USR 79150,MCH 7474,25/02/2026,07-Mar-2026,"₹1,339.61",UNAUTHORISED,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,2026/03/18,P4,Email
CBK0002239,TXN00004673,USR82373,MCH4473,2026-02-13 09:50:18,19/02/2026,1272.25,Customer Dispute,Customer says amount was debited twice.,Resolved,2026-02-26 04:50:18,LOW,CHATBOT
CBK0001382,,USR57424,MCH4684,02/01/2026,03-Jan-2026,678.56,unauth txn,Customer complaint text unclear due to poor call center notes.,Pending Bank,01-Feb-2026,Low,ivr
CBK0002315,TXN00012331,usr91192,MCH2718,,14-Feb-2026,"INR 1,246.25",FRAUD,Customer complaint text unclear due to poor call center notes.,PENDING_BANK,,M,Branch
CBK0001978,TXN00012089,83284,MCH4334,31/03/2026 04:45 AM,04/04/2026,1931.29,UNAUTHORISED,User reports money deducted but merchant denies receiving payment.,Open,04-28-2026,Low,ivr
CBK0001151,TXN00002195,USR98362,MCH1468,1774910313,05/04/2026 01:38 AM,"₹4,960.35",Unauthorized Transaction,Complaint received after multiple failed attempts.,Rejected,,L,App
CBK0000424,TXN95161,USR40061,mch1589,2026-03-22 09:02:49,24/03/2026,"₹4,157.35",Wrong Amount,Payment made to unknown merchant as per customer statement.,Open,2026/04/20,P4,ivr
CBK0002543,TXN00001628,USR-11727,mch7286,2026/02/09,,,amount mismatch,Payment made to unknown merchant as per customer statement.,PENDING_BANK,20/02/2026,MEDIUM,IVR
CBK0000371,TXN00002374,USR58639,MCH5954,03-31-2026,2026-04-03 04:13:08,"1,428.93",unauth txn,Customer complaint text unclear due to poor call center notes.,Resolved,,P2,App
